cur_rate,cur_ee,per_ee,b_type,p_type,tenure,area,water_ee,wind_ee,wall_ee,roof_ee,heat_ee,con_ee,light_ee,pv,sol_wat,quality_index,build_year,building_age,fuel_group,is_community_heating,has_boiler,has_air_hp,has_ground_hp,has_micro_chp,has_community,has_storage_heaters,has_room_heaters,has_electric_underfloor,has_electric_ceiling,has_radiators,has_underfloor,has_warm_air,uses_gas,uses_oil,uses_electricity,uses_biomass,uses_coal,floor_type,floor_boundary,floor_insulation,floor_u_value,floor_ins_num,dhw_no_cylinder_stat,dhw_has_solar,dhw_has_waste_heat,dhw_system,dhw_energy,wall_type,wall_insulation,wall_u_value,roof_type,roof_boundary,roof_insulation_type,roof_insulation_mm,roof_u_value,has_time_control,has_temp_control,has_room_control,glazing_type,glazing_quality,glazing_level,glazing_coverage
c,69.0,83.0,semi-detached,house,rented (social),82.0,4,3,3,3,4,4,5,no,no,3.8,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,100.0,,1,1,1,double,unknown,double,full
c,72.0,75.0,end-terrace,flat,rented (social),40.0,4,3,4,0,4,4,5,no,no,3.4,1993,31,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,unknown,double,full
d,64.0,71.0,mid-terrace,flat,owner-occupied,76.0,3,4,4,3,2,5,5,no,no,3.8,1986,38,electricity,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,unknown,dwelling_below,unknown,,,0,0,0,electric_immersion,electricity,cavity,insulated_as_built,,pitched,external,loft,75.0,,1,1,1,double,modern,double,full
d,67.0,78.0,semi-detached,house,owner-occupied,181.0,4,3,2,1,4,4,5,no,no,3.2,1890,134,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,none,,,1,1,1,double,unknown,double,full
e,43.0,84.0,semi-detached,house,owner-occupied,147.0,2,1,1,4,4,4,3,no,no,3.2,1915,109,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,1,0,0,boiler,unknown,solid,none,,pitched,external,loft,250.0,,1,1,1,unknown,unknown,single,unknown
c,73.0,83.0,semi-detached,house,owner-occupied,124.0,4,3,3,3,4,4,5,no,no,3.8,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,100.0,,1,1,1,double,old,double,full
d,66.0,83.0,semi-detached,house,rented (private),114.0,4,3,4,3,4,4,4,no,no,3.8,1979,45,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,roof_room,external,limited,,,1,1,1,double,unknown,double,full
c,80.0,81.0,semi-detached,flat,rented (social),63.0,4,4,5,0,4,4,4,no,no,3.4,2018,6,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,unknown,dwelling_below,unknown,,,0,0,0,boiler,unknown,cavity,insulated_as_built,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,modern,double,full
b,82.0,87.0,detached,house,owner-occupied,127.0,4,4,4,5,4,3,5,no,no,4.2,1999,25,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,limited,,1.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,300.0,,1,0,1,double,modern,double,full
d,67.0,87.0,semi-detached,house,owner-occupied,90.0,4,3,1,4,4,4,5,no,no,3.6,1940,84,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,loft,200.0,,1,1,1,double,unknown,double,full
d,55.0,87.0,semi-detached,house,owner-occupied,73.0,3,3,1,4,4,3,3,no,no,3.0,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,solid,none,,pitched,external,loft,250.0,,1,0,1,double,unknown,double,full
c,71.0,89.0,end-terrace,bungalow,rented (social),53.0,4,3,4,4,4,4,5,no,no,4.2,1986,38,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,200.0,,1,1,1,double,unknown,double,full
c,69.0,88.0,semi-detached,bungalow,rented (social),41.0,4,3,3,4,4,4,5,no,no,4.0,1958,66,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,250.0,,1,1,1,double,unknown,double,full
d,68.0,83.0,detached,house,owner-occupied,88.0,4,4,4,4,4,4,4,no,no,4.0,1993,31,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,suspended,ground,none,,0.0,0,0,0,boiler,unknown,cavity,insulated_as_built,,pitched,external,loft,150.0,,1,1,1,double,modern,double,full
e,44.0,78.0,end-terrace,house,owner-occupied,103.0,3,3,2,4,4,3,3,no,no,3.2,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,270.0,,1,1,0,double,unknown,double,mostly
c,72.0,77.0,enclosed mid-terrace,flat,rented (social),50.0,4,4,3,0,4,4,5,no,no,3.2,1979,45,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,partial,,dwelling_above,dwelling_above,unknown,,,1,1,1,double,modern,double,full
b,85.0,85.0,end-terrace,flat,unknown,66.0,3,5,5,4,3,5,5,no,unknown,4.4,2018,6,electricity,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,unknown,premises_below,unknown,,,0,0,0,electric_immersion,electricity,unknown,unknown,0.16,unknown,external,unknown,,0.15,1,1,1,unknown,unknown,high_performance,unknown
c,71.0,86.0,mid-terrace,house,owner-occupied,76.0,4,3,3,3,4,4,2,no,no,3.2,1971,53,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,filled_cavity,,pitched,external,loft,75.0,,1,1,1,double,unknown,double,full
c,73.0,89.0,mid-terrace,house,rented (private),60.0,4,3,2,3,4,4,5,no,no,3.6,1890,134,gas,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,solid,ground,none,,0.0,0,0,0,boiler,unknown,cavity,none,,pitched,external,loft,100.0,,1,1,1,double,unknown,double,full
f,35.0,88.0,end-terrace,house,owner-occupied,76.0,1,4,1,2,3,2,5,no,no,2.6,1940,84,electricity,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,suspended,ground,none,,0.0,0,0,0,electric_immersion,electricity,solid,none,,pitched,external,loft,25.0,,1,0,0,double,modern,double,full
